support,itemsets
0.002439868682582576,frozenset({'0'})
0.0011557272706970096,frozenset({'08'})
0.016543091319204055,frozenset({'1'})
0.008279920494896934,frozenset({'10'})
0.004449829153359984,frozenset({'100'})
0.0022667887531545214,frozenset({'1000'})
0.001049646023628202,frozenset({'100000'})
0.0032494360944234765,frozenset({'11'})
0.0045559104004287915,frozenset({'12'})
0.003243852870893539,frozenset({'13'})
0.0038021752238872634,frozenset({'14'})
0.003305268329722849,frozenset({'15'})
0.0031098555061750454,frozenset({'16'})
0.0022444558590347724,frozenset({'17'})
0.002177457176675525,frozenset({'18'})
0.0036123456238693974,frozenset({'19'})
0.002305871317864082,frozenset({'1st'})
0.016263930142707193,frozenset({'2'})
0.0045559104004287915,frozenset({'20'})
0.0011222279295173862,frozenset({'200'})
0.0013176407530651898,frozenset({'2019'})
0.02320387699041919,frozenset({'2020'})
0.0012953078589454407,frozenset({'2021'})
0.002149541059025839,frozenset({'21'})
0.0025682828237711323,frozenset({'22'})
0.0017642986354601694,frozenset({'23'})
0.012779998660026352,frozenset({'24'})
0.0032271032003037274,frozenset({'25'})
0.0023170377649239563,frozenset({'26'})
0.0018815463295888514,frozenset({'27'})
0.0016638006119212988,frozenset({'28'})
0.0017754650825200437,frozenset({'29'})
0.001714049623690734,frozenset({'2nd'})
0.01223842597762244,frozenset({'3'})
0.004008754494494941,frozenset({'30'})
0.001758715411930232,frozenset({'31'})
0.0013343904236550015,frozenset({'35'})
0.0011389776001071979,frozenset({'3rd'})
0.01025079840096478,frozenset({'4'})
0.0017922147531098556,frozenset({'40'})
0.0011054782589275745,frozenset({'45'})
0.010368046095093463,frozenset({'5'})
0.0026408647296603167,frozenset({'50'})
0.0076713491301337745,frozenset({'6'})
0.0013176407530651898,frozenset({'60'})
0.006041047859392098,frozenset({'7'})
0.0011389776001071979,frozenset({'70'})
0.005722804118185675,frozenset({'8'})
0.0012897246354155035,frozenset({'80'})
0.004779239341626281,frozenset({'9'})
0.0010943118118677,frozenset({'90'})
0.00267436407083994,frozenset({'abl'})
0.0013790562118944994,frozenset({'abo'})
0.0012618085177658173,frozenset({'abov'})
0.001848046988409228,frozenset({'absolut'})
0.0015242200236728677,frozenset({'acceler'})
0.0014516381177836835,frozenset({'accept'})
0.0036402617415190837,frozenset({'access'})
0.0037965920003573263,frozenset({'accord'})
0.0026129486120106305,frozenset({'account'})
0.0013623065413046877,frozenset({'achiev'})
0.006085713647631596,frozenset({'across'})
0.0035509301650400874,frozenset({'act'})
0.00376867588270764,frozenset({'action'})
0.011881099671706457,frozenset({'activ'})
0.0037351765415280166,frozenset({'actual'})
0.0028921097885074927,frozenset({'ad'})
0.0016861335060410479,frozenset({'adapt'})
0.0017977979766397928,frozenset({'add'})
0.0023672867766933916,frozenset({'addit'})
0.002562699600241195,frozenset({'address'})
0.002333787435513768,frozenset({'administr'})
0.0023393706590437054,frozenset({'admit'})
0.0010049802353887041,frozenset({'adopt'})
0.0018145476472296045,frozenset({'adult'})
0.0010608124706880766,frozenset({'advanc'})
0.0026185318355405676,frozenset({'advic'})
0.0013678897648346248,frozenset({'advis'})
0.005823302141724546,frozenset({'affect'})
0.001345556870714876,frozenset({'afford'})
0.004321415012171427,frozenset({'africa'})
0.0014237220001339973,frozenset({'african'})
0.004198584094512808,frozenset({'age'})
0.001395805882484311,frozenset({'agenc'})
0.002920025906157179,frozenset({'ago'})
0.002534783482591509,frozenset({'agre'})
0.0022500390825647095,frozenset({'ahead'})
0.001781048306049981,frozenset({'ai'})
0.002049043035486969,frozenset({'aid'})
0.0010161466824485784,frozenset({'aim'})
0.0028586104473278693,frozenset({'air'})
0.0010217299059785158,frozenset({'airlin'})
0.0013567233177747505,frozenset({'airport'})
0.0015521361413225539,frozenset({'al'})
0.005828885365254484,frozenset({'alert'})
0.0050137347298836454,frozenset({'allow'})
0.0032271032003037274,frozenset({'almost'})
0.001714049623690734,frozenset({'alon'})
0.0022779552002143958,frozenset({'along'})
0.004868570918105278,frozenset({'alreadi'})
0.009189985930276704,frozenset({'also'})
0.004070169953324251,frozenset({'alway'})
0.002261205529624584,frozenset({'amaz'})
0.006599370212385823,frozenset({'america'})
0.013338321013020077,frozenset({'american'})
0.005644638988766554,frozenset({'amid'})
0.0015353864707327422,frozenset({'amitshah'})
0.0037295933179980795,frozenset({'among'})
0.0019317953413582865,frozenset({'amount'})
0.0016749670589811733,frozenset({'analysi'})
0.010066552024476852,frozenset({'ani'})
0.0014069723295441856,frozenset({'anim'})
0.007062777765370614,frozenset({'announc'})
0.008553498447863859,frozenset({'anoth'})
0.0027357795296692497,frozenset({'answer'})
0.0017028831766308595,frozenset({'antibodi'})
0.001390222658954374,frozenset({'anxieti'})
0.005449226165218751,frozenset({'anyon'})
0.0024510351296424503,frozenset({'anyth'})
0.0010663956942180137,frozenset({'apart'})
0.0038915068003662593,frozenset({'app'})
0.0011054782589275745,frozenset({'appar'})
0.0015912187060321146,frozenset({'appear'})
0.0016972999531009224,frozenset({'appli'})
0.0011110614824575117,frozenset({'applic'})
0.0013511400942448131,frozenset({'appreci'})
0.0021272081649060903,frozenset({'approach'})
0.002830694329678183,frozenset({'approv'})
0.0014181387766040601,frozenset({'april'})
0.003657011412108895,frozenset({'area'})
0.001390222658954374,frozenset({'arizona'})
0.008458583647854926,frozenset({'around'})
0.0013623065413046877,frozenset({'arrest'})
0.002121624941376153,frozenset({'arriv'})
0.0023896196708131407,frozenset({'art'})
0.005415726824039127,frozenset({'articl'})
0.001390222658954374,frozenset({'artist'})
0.0071521093418496105,frozenset({'ask'})
0.0010552292471581392,frozenset({'assam'})
0.0012394756236460682,frozenset({'assess'})
0.002076959153136655,frozenset({'assist'})
0.0019038792237086005,frozenset({'associ'})
0.0012953078589454407,frozenset({'asymptomat'})
0.0018368805413493535,frozenset({'attack'})
0.0022947048708042077,frozenset({'attend'})
0.0017307992942805458,frozenset({'attent'})
0.0011724769412868213,frozenset({'auckland'})
0.004656408423967662,frozenset({'aug'})
0.015286866024968176,frozenset({'august'})
0.0016861335060410479,frozenset({'auspol'})
0.00393058936507582,frozenset({'australia'})
0.0015018871295531188,frozenset({'australian'})
0.0038356745650668872,frozenset({'author'})
0.004829488353395716,frozenset({'avail'})
0.0023449538825736425,frozenset({'averag'})
0.0029702749179266142,frozenset({'avoid'})
0.0021383746119659646,frozenset({'awar'})
0.005158898541662014,frozenset({'away'})
0.0048071554592759675,frozenset({'b'})
0.0014460548942537464,frozenset({'babi'})
0.014968622283761753,frozenset({'back'})
0.003925006141545883,frozenset({'bad'})
0.002166290729615651,frozenset({'ban'})
0.0023896196708131407,frozenset({'bank'})
0.0017754650825200437,frozenset({'bar'})
0.0027357795296692497,frozenset({'base'})
0.0016526341648614245,frozenset({'basic'})
0.0023784532237532663,frozenset({'battl'})
0.0011892266118766332,frozenset({'bbnaija'})
0.0017028831766308595,frozenset({'bc'})
0.0013790562118944994,frozenset({'beach'})
0.0019708779060678473,frozenset({'beat'})
0.0016191348236818009,frozenset({'beauti'})
0.012975411483574156,frozenset({'becaus'})
0.005566473859347433,frozenset({'becom'})
0.001647050941331487,frozenset({'bed'})
0.00836925207137593,frozenset({'befor'})
0.0010440628000982647,frozenset({'began'})
0.003405766353261719,frozenset({'begin'})
0.002121624941376153,frozenset({'behind'})
0.005119815976952454,frozenset({'believ'})
0.0024789512472921365,frozenset({'benefit'})
0.006833865600643188,frozenset({'best'})
0.0010998950353976371,frozenset({'bet'})
0.006459789624137392,frozenset({'better'})
0.0014795542354333697,frozenset({'beyond'})
0.0021383746119659646,frozenset({'biden'})
