support,itemsets
0.006085713647631596,frozenset({'across'})
0.011992764142305202,frozenset({'activ'})
0.005823302141724546,frozenset({'affect'})
0.0058456350358442955,frozenset({'alert'})
0.0050137347298836454,frozenset({'allow'})
0.009189985930276704,frozenset({'also'})
0.006621703106505572,frozenset({'america'})
0.01335507068360989,frozenset({'american'})
0.005644638988766554,frozenset({'amid'})
0.010077718471536726,frozenset({'ani'})
0.007062777765370614,frozenset({'announc'})
0.008553498447863859,frozenset({'anoth'})
0.005449226165218751,frozenset({'anyon'})
0.008464166871384862,frozenset({'around'})
0.005438059718158876,frozenset({'articl'})
0.0071521093418496105,frozenset({'ask'})
0.005354311365209818,frozenset({'aug'})
0.015990352189740268,frozenset({'august'})
0.005158898541662014,frozenset({'away'})
0.005393393929919378,frozenset({'b'})
0.01497420550729169,frozenset({'back'})
0.012980994707104093,frozenset({'becaus'})
0.00557205708287737,frozenset({'becom'})
0.008374835294905868,frozenset({'befor'})
0.00512539920048239,frozenset({'believ'})
0.006833865600643188,frozenset({'best'})
0.006465372847667329,frozenset({'better'})
0.005259396565200885,frozenset({'big'})
0.007995176094870134,frozenset({'break'})
0.00589588404761373,frozenset({'bring'})
0.014510797954306898,frozenset({'busi'})
0.007453603412466221,frozenset({'c'})
0.011227862518703799,frozenset({'call'})
0.008938740871429528,"frozenset({""can't""})"
0.013489068048328383,frozenset({'care'})
0.09666793219733345,frozenset({'case'})
0.006560287647676262,frozenset({'caus'})
0.0067891998124036896,frozenset({'challeng'})
0.010122384259776225,frozenset({'chang'})
0.008653996471402728,frozenset({'check'})
0.009837639859749425,frozenset({'children'})
0.00786117873015164,frozenset({'china'})
0.0065379547535565135,frozenset({'citi'})
0.00859258101257342,frozenset({'close'})
0.012897246354155035,frozenset({'come'})
0.010183799718605535,frozenset({'communiti'})
0.005588806753467182,frozenset({'compani'})
0.013829644683654555,frozenset({'confirm'})
0.0057842195770149854,frozenset({'contact'})
0.01082028720101838,frozenset({'continu'})
0.005465975835808563,frozenset({'control'})
0.010675123389240012,frozenset({'corona'})
0.07972843200750385,frozenset({'coronavirus'})
0.006917613953592246,frozenset({'coronavirusupd'})
0.0117526855305179,frozenset({'could'})
0.0062252942358800275,frozenset({'counti'})
0.019591531366549793,frozenset({'countri'})
0.005209147553431449,frozenset({'cover'})
0.6004533577506309,frozenset({'covid'})
0.005253813341670947,frozenset({'creat'})
0.008944324094959466,frozenset({'crisi'})
0.00530964557697032,frozenset({'cross'})
0.005968465953502915,frozenset({'current'})
0.012752082542376666,frozenset({'daili'})
0.010803537530428568,frozenset({'data'})
0.03268419054425263,frozenset({'day'})
0.006956696518301807,frozenset({'dead'})
0.05363244522857717,frozenset({'death'})
0.007810929718382205,frozenset({'develop'})
0.018932710990017195,frozenset({'die'})
0.005253813341670947,frozenset({'differ'})
0.006962279741831744,frozenset({'discuss'})
0.005002568282823771,frozenset({'diseas'})
0.007542934988945218,frozenset({'distanc'})
0.006683118565334881,frozenset({'doctor'})
0.00759876722424459,frozenset({'doe'})
0.00534872814167988,frozenset({'done'})
0.008748911271411662,frozenset({'dr'})
0.016263930142707193,frozenset({'due'})
0.030367152779328672,frozenset({'dure'})
0.005678138329946178,frozenset({'econom'})
0.0065714540947361365,frozenset({'economi'})
0.00634254193000871,frozenset({'educ'})
0.007755097483082832,frozenset({'effect'})
0.006872948165352748,frozenset({'end'})
0.015990352189740268,frozenset({'even'})
0.009703642495030931,frozenset({'everi'})
0.008240837930187372,frozenset({'everyon'})
0.005644638988766554,frozenset({'expert'})
0.01359514929539719,frozenset({'face'})
0.011093865153985305,frozenset({'famili'})
0.00508631663577283,frozenset({'far'})
0.0072470241418585435,frozenset({'feel'})
0.010462960895102397,frozenset({'fight'})
0.009050405342028273,frozenset({'find'})
0.01649284230743462,frozenset({'first'})
0.010831453648078254,frozenset({'follow'})
0.005343144918149943,frozenset({'food'})
0.007509435647765594,frozenset({'free'})
0.006247627129999777,frozenset({'friend'})
0.005181231435781763,frozenset({'full'})
0.03383991781494964,frozenset({'get'})
0.008453000424324989,frozenset({'give'})
0.014131138754271166,frozenset({'global'})
0.02556558054358264,frozenset({'go'})
0.013952475601313174,frozenset({'good'})
0.0073084396006878535,frozenset({'got'})
0.015901020613261273,frozenset({'govern'})
0.005002568282823771,frozenset({'govt'})
0.00978739084797999,frozenset({'great'})
0.006521205082966702,frozenset({'hand'})
0.0065547044241463254,frozenset({'happen'})
0.02858610447327869,frozenset({'health'})
0.0057674699064251735,frozenset({'healthcar'})
0.02711213346137526,frozenset({'help'})
0.0070739442124304885,frozenset({'high'})
0.005415726824039127,frozenset({'hit'})
0.015041204189650936,frozenset({'home'})
0.007699265247783461,frozenset({'hope'})
0.016420260401545435,frozenset({'hospit'})
0.0131317417424124,frozenset({'hour'})
0.005203564329901512,frozenset({'human'})
0.012137927954083569,"frozenset({""i'm""})"
0.011641021059919154,frozenset({'impact'})
0.010217299059785157,frozenset({'import'})
0.008503249436094424,frozenset({'includ'})
0.010289880965674342,frozenset({'increas'})
0.025649328896531702,frozenset({'india'})
0.014722960448444514,frozenset({'infect'})
0.006202961341760279,frozenset({'inform'})
0.005946133059383165,frozenset({'issu'})
0.007956093530160574,frozenset({'job'})
0.00877124416553141,frozenset({'join'})
0.010306630636264153,frozenset({'juli'})
0.00634254193000871,frozenset({'k'})
0.01327132233066083,frozenset({'keep'})
0.008346919177256181,frozenset({'kid'})
0.006655202447685195,frozenset({'kill'})
0.0185586350135114,frozenset({'know'})
0.02066909350782768,frozenset({'last'})
0.010931951671617125,frozenset({'latest'})
0.005622306094646806,frozenset({'leader'})
0.009413314871474194,frozenset({'learn'})
0.01207651249525426,frozenset({'let'})
0.008743328047881724,frozenset({'life'})
0.026308149273064296,frozenset({'like'})
0.01856421823704134,frozenset({'live'})
0.006627286330035509,frozenset({'local'})
0.01566652522500391,frozenset({'lockdown'})
0.005644638988766554,frozenset({'long'})
0.016375594613305938,frozenset({'look'})
0.00877124416553141,frozenset({'love'})
0.0066328695535654465,frozenset({'made'})
0.01916720637827456,frozenset({'make'})
0.005103066306362642,frozenset({'man'})
0.006169462000580655,frozenset({'manag'})
0.01784956562520937,frozenset({'mani'})
0.00534872814167988,frozenset({'market'})
0.03461040266208098,frozenset({'mask'})
0.011384192777542042,frozenset({'may'})
