support,itemsets,n_items,date
0.5661016949152542,frozenset({'covid'}),1,2020-07-24
0.0847457627118644,frozenset({'coronavirus'}),1,2020-07-24
0.06440677966101695,frozenset({'pandem'}),1,2020-07-24
0.06440677966101695,frozenset({'mask'}),1,2020-07-24
0.061016949152542375,frozenset({'death'}),1,2020-07-24
0.0576271186440678,frozenset({'new'}),1,2020-07-24
0.0576271186440678,"frozenset({'coronavirus', 'covid'})",2,2020-07-24
0.0576271186440678,frozenset({'case'}),1,2020-07-24
0.04406779661016949,frozenset({'get'}),1,2020-07-24
0.04406779661016949,frozenset({'school'}),1,2020-07-24
0.04406779661016949,frozenset({'see'}),1,2020-07-24
0.04406779661016949,"frozenset({'death', 'covid'})",2,2020-07-24
0.04406779661016949,frozenset({'need'}),1,2020-07-24
0.04406779661016949,frozenset({'thank'}),1,2020-07-24
0.04067796610169491,"frozenset({'covid', 'case'})",2,2020-07-24
0.04067796610169491,frozenset({'go'}),1,2020-07-24
0.03728813559322034,frozenset({'spread'}),1,2020-07-24
0.03728813559322034,frozenset({'peopl'}),1,2020-07-24
0.03728813559322034,frozenset({'today'}),1,2020-07-24
0.03728813559322034,"frozenset({'covid', 'pandem'})",2,2020-07-24
0.03728813559322034,frozenset({'wear'}),1,2020-07-24
0.03389830508474576,"frozenset({'covid', 'need'})",2,2020-07-24
0.03389830508474576,frozenset({'day'}),1,2020-07-24
0.03389830508474576,frozenset({'one'}),1,2020-07-24
0.03389830508474576,frozenset({'health'}),1,2020-07-24
0.03389830508474576,frozenset({'realdonaldtrump'}),1,2020-07-24
0.030508474576271188,frozenset({'us'}),1,2020-07-24
0.030508474576271188,frozenset({'news'}),1,2020-07-24
0.030508474576271188,frozenset({'home'}),1,2020-07-24
0.030508474576271188,frozenset({'dure'}),1,2020-07-24
0.030508474576271188,frozenset({'time'}),1,2020-07-24
0.02711864406779661,frozenset({'first'}),1,2020-07-24
0.02711864406779661,frozenset({'work'}),1,2020-07-24
0.02711864406779661,"frozenset({'spread', 'covid'})",2,2020-07-24
0.02711864406779661,"frozenset({'mask', 'wear'})",2,2020-07-24
0.02711864406779661,frozenset({'back'}),1,2020-07-24
0.02711864406779661,frozenset({'week'}),1,2020-07-24
0.02711864406779661,frozenset({'updat'}),1,2020-07-24
0.02711864406779661,frozenset({'test'}),1,2020-07-24
0.023728813559322035,"frozenset({'covid', 'go'})",2,2020-07-24
0.023728813559322035,frozenset({'live'}),1,2020-07-24
0.023728813559322035,frozenset({'alert'}),1,2020-07-24
0.023728813559322035,frozenset({'know'}),1,2020-07-24
0.023728813559322035,"frozenset({'health', 'covid'})",2,2020-07-24
0.023728813559322035,"frozenset({'covid', 'realdonaldtrump'})",2,2020-07-24
0.023728813559322035,"frozenset({'covid', 'new'})",2,2020-07-24
0.023728813559322035,"frozenset({'case', 'new'})",2,2020-07-24
0.023728813559322035,frozenset({'help'}),1,2020-07-24
0.023728813559322035,frozenset({'whi'}),1,2020-07-24
0.023728813559322035,frozenset({'via'}),1,2020-07-24
0.023728813559322035,frozenset({'vaccin'}),1,2020-07-24
0.023728813559322035,frozenset({'trump'}),1,2020-07-24
0.023728813559322035,frozenset({'care'}),1,2020-07-24
0.023728813559322035,frozenset({'children'}),1,2020-07-24
0.020338983050847456,frozenset({'total'}),1,2020-07-24
0.020338983050847456,"frozenset({'global', 'alert'})",2,2020-07-24
0.020338983050847456,frozenset({'want'}),1,2020-07-24
0.020338983050847456,frozenset({'virus'}),1,2020-07-24
0.020338983050847456,"frozenset({'covid', 'see'})",2,2020-07-24
0.020338983050847456,"frozenset({'covid', 'school'})",2,2020-07-24
0.020338983050847456,frozenset({'juli'}),1,2020-07-24
0.020338983050847456,frozenset({'kid'}),1,2020-07-24
0.020338983050847456,frozenset({'kind'}),1,2020-07-24
0.020338983050847456,"frozenset({'covid', 'get'})",2,2020-07-24
0.020338983050847456,frozenset({'posit'}),1,2020-07-24
0.020338983050847456,"frozenset({'news', 'pandem'})",2,2020-07-24
0.020338983050847456,frozenset({'take'}),1,2020-07-24
0.020338983050847456,frozenset({'state'}),1,2020-07-24
0.020338983050847456,frozenset({'mayb'}),1,2020-07-24
0.020338983050847456,"frozenset({'coronavirus', 'pandem'})",2,2020-07-24
0.020338983050847456,"frozenset({'covid', 'day'})",2,2020-07-24
0.020338983050847456,frozenset({'show'}),1,2020-07-24
0.020338983050847456,"frozenset({'dure', 'covid'})",2,2020-07-24
0.020338983050847456,frozenset({'say'}),1,2020-07-24
0.020338983050847456,frozenset({'hello'}),1,2020-07-24
0.020338983050847456,frozenset({'right'}),1,2020-07-24
0.020338983050847456,"frozenset({'first', 'covid'})",2,2020-07-24
0.020338983050847456,frozenset({'pleas'}),1,2020-07-24
0.020338983050847456,frozenset({'learn'}),1,2020-07-24
0.020338983050847456,frozenset({'th'}),1,2020-07-24
0.020338983050847456,"frozenset({'week', 'covid'})",2,2020-07-24
0.020338983050847456,"frozenset({'covid', 'thank'})",2,2020-07-24
0.020338983050847456,"frozenset({'covid', 'today'})",2,2020-07-24
0.020338983050847456,frozenset({'contact'}),1,2020-07-24
0.020338983050847456,frozenset({'american'}),1,2020-07-24
0.020338983050847456,frozenset({'good'}),1,2020-07-24
